name,ticker,market,sector
Pt Adaro Andalan Indonesia Tbk,AADI,IDX,Energy minerals
PT Astra Agro Lestari Tbk,AALI,IDX,Process industries
PT Mahaka Media Tbk,ABBA,IDX,Consumer services
PT Asuransi Bina Dana Arta Tbk Class A,ABDA,IDX,Finance
PT ABM Investama Tbk,ABMM,IDX,Energy minerals
PT Aspirasi Hidup Indonesia Tbk,ACES,IDX,Retail trade
PT Samcro Hyosung Adilestari Tbk Class A,ACRO,IDX,Process industries
PT Acset Indonusa Tbk,ACST,IDX,Industrial services
PT Adhi Commuter Properti Tbk,ADCP,IDX,Finance
PT Akasha Wira International Tbk,ADES,IDX,Consumer non-durables
PT Adhi Karya (Persero) Tbk,ADHI,IDX,Industrial services
PT Adira Dinamika Multi Finance Tbk,ADMF,IDX,Finance
PT Polychem Indonesia Tbk,ADMG,IDX,Process industries
PT Alamtri Minerals Indonesia Tbk,ADMR,IDX,Energy minerals
PT Alamtri Resources Indonesia Tbk,ADRO,IDX,Energy minerals
PT Anugerah Spareparts Sejahtera Tbk,AEGS,IDX,Producer manufacturing
PT Asia Sejahtera Mina Tbk,AGAR,IDX,Distribution services
PT Samator Indo Gas Tbk,AGII,IDX,Process industries
PT Bank Raya Indonesia Tbk,AGRO,IDX,Finance
PT Bank IBK Indonesia Tbk,AGRS,IDX,Finance
PT Asuransi Harta Aman Pratama Tbk,AHAP,IDX,Finance
PT Artha Mahiya Investama Tbk,AIMS,IDX,Distribution services
PT FKS Food Sejahtera Tbk Class A,AISA,IDX,Consumer non-durables
PT Argha Karya Prima Industry Tbk,AKPI,IDX,Process industries
PT AKR Corporindo Tbk,AKRA,IDX,Distribution services
PT Mineral Sumberdaya Mandiri Tbk,AKSI,IDX,Finance
PT Alkindo Naratama Tbk,ALDO,IDX,Process industries
PT Ancara Logistics Indonesia Tbk,ALII,IDX,Consumer services
"PT Alakasa Industrindo, Tbk Class A",ALKA,IDX,Non-energy minerals
PT Asuransi Multi Artha Guna Tbk,AMAG,IDX,Finance
PT Makmur Berkah Amanda Tbk,AMAN,IDX,Finance
PT Bank Amar Indonesia Tbk,AMAR,IDX,Finance
PT Asahimas Flat Glass Tbk,AMFG,IDX,Process industries
PT Ateliers Mecaniques D'Indonesie Tbk,AMIN,IDX,Producer manufacturing
PT Amman Mineral Internasional Tbk,AMMN,IDX,Non-energy minerals
PT Agung Menjangan Mas Tbk,AMMS,IDX,Process industries
PT Ashmore Asset Management Indonesia Tbk,AMOR,IDX,Finance
PT Sumber Alfaria Trijaya,AMRT,IDX,Retail trade
PT Andira Agro Tbk,ANDI,IDX,Process industries
PT Austindo Nusantara Jaya Tbk,ANJT,IDX,Process industries
PT Aneka Tambang Tbk,ANTM,IDX,Non-energy minerals
PT Apexindo Pratama Duta Tbk,APEX,IDX,Industrial services
PT Pacific Strategic Financial Tbk Class A,APIC,IDX,Finance
PT Arita Prima Indonesia Tbk,APII,IDX,Producer manufacturing
PT Asiaplast Industries Tbk,APLI,IDX,Process industries
PT Agung Podomoro Land Tbk,APLN,IDX,Finance
PT Archi Indonesia Tbk,ARCI,IDX,Non-energy minerals
PT Dunia Virtual Online Tbk,AREA,IDX,Technology services
PT Argo Pantes Tbk,ARGO,IDX,Process industries
PT Atlas Resources Tbk,ARII,IDX,Energy minerals
PT Arkha Jayanti Persada Tbk,ARKA,IDX,Transportation
PT Arkora Hydro Tbk,ARKO,IDX,Industrial services
PT Arwana Citramulia Tbk,ARNA,IDX,Producer manufacturing
PT Arthavest Tbk,ARTA,IDX,Consumer services
PT Bank Jago Tbk,ARTO,IDX,Finance
PT Asuransi Bintang Tbk,ASBI,IDX,Finance
PT Asuransi Dayin Mitra Tbk,ASDM,IDX,Finance
PT Astra Graphia Tbk,ASGR,IDX,Technology services
PT Cilacap Samudera Fishing Industry Tbk,ASHA,IDX,Process industries
PT Astra International Tbk,ASII,IDX,Technology services
PT Asuransi Jasa Tania Tbk,ASJT,IDX,Finance
PT Autopedia Sukses Lestari Tbk,ASLC,IDX,Distribution services
PT Asuransi Maximus Graha Persada Tbk,ASMI,IDX,Finance
PT Andalan Sakti Primaindo Tbk,ASPI,IDX,Finance
PT Asia Pramulia Tbk,ASPR,IDX,Producer manufacturing
PT Alam Sutera Realty Tbk,ASRI,IDX,Finance
